name,url
Antipyrine And Benzocaine (Otic Route),https://www.mayoclinic.org//drugs-supplements/antipyrine-and-benzocaine-otic-route/description/drg-20061442
Erythromycin (Topical Route),https://www.mayoclinic.org//drugs-supplements/erythromycin-topical-route/description/drg-20068690
Pyrethrum Extract And Piperonyl Butoxide (Topical Route),https://www.mayoclinic.org//drugs-supplements/pyrethrum-extract-and-piperonyl-butoxide-topical-route/description/drg-20068537
Pyrethrum Extract And Piperonyl Butoxide (Topical Route),https://www.mayoclinic.org//drugs-supplements/pyrethrum-extract-and-piperonyl-butoxide-topical-route/description/drg-20068537
Abacavir (Oral Route),https://www.mayoclinic.org//drugs-supplements/abacavir-oral-route/description/drg-20061463
Abacavir And Lamivudine (Oral Route),https://www.mayoclinic.org//drugs-supplements/abacavir-and-lamivudine-oral-route/description/drg-20062798
"Abacavir, Dolutegravir, And Lamivudine (Oral Route)",https://www.mayoclinic.org//drugs-supplements/abacavir-dolutegravir-and-lamivudine-oral-route/description/drg-20122502
"Abacavir, Lamivudine, And Zidovudine (Oral Route)",https://www.mayoclinic.org//drugs-supplements/abacavir-lamivudine-and-zidovudine-oral-route/description/drg-20061449
Abaloparatide (Subcutaneous Route),https://www.mayoclinic.org//drugs-supplements/abaloparatide-subcutaneous-route/description/drg-20406221
Abametapir (Topical Application Route),https://www.mayoclinic.org//drugs-supplements/abametapir-topical-application-route/description/drg-20492065
"Abatacept (Intravenous Route, Subcutaneous Route)",https://www.mayoclinic.org//drugs-supplements/abatacept-intravenous-route-subcutaneous-route/description/drg-20070783
Urokinase (Intravenous Route),https://www.mayoclinic.org//drugs-supplements/urokinase-intravenous-route/description/drg-20070827
Abciximab (Intravenous Route),https://www.mayoclinic.org//drugs-supplements/abciximab-intravenous-route/description/drg-20061512
Idecabtagene Vicleucel (Intravenous Route),https://www.mayoclinic.org//drugs-supplements/idecabtagene-vicleucel-intravenous-route/description/drg-20512967
"Amphotericin B Lipid Complex (Intravenous Route, Injection Route)",https://www.mayoclinic.org//drugs-supplements/amphotericin-b-lipid-complex-intravenous-route-injection-route/description/drg-20061816
Abemaciclib (Oral Route),https://www.mayoclinic.org//drugs-supplements/abemaciclib-oral-route/description/drg-20406567
"Acetaminophen (Oral Route, Rectal Route)",https://www.mayoclinic.org//drugs-supplements/acetaminophen-oral-route-rectal-route/description/drg-20068480
Aripiprazole (Oral Route),https://www.mayoclinic.org//drugs-supplements/aripiprazole-oral-route/description/drg-20066890
Aripiprazole (Oral Route),https://www.mayoclinic.org//drugs-supplements/aripiprazole-oral-route/description/drg-20066890
Aripiprazole (Oral Route),https://www.mayoclinic.org//drugs-supplements/aripiprazole-oral-route/description/drg-20066890
Abiraterone (Oral Route),https://www.mayoclinic.org//drugs-supplements/abiraterone-oral-route/description/drg-20074889
"Abiraterone, Micronized (Oral Route)",https://www.mayoclinic.org//drugs-supplements/abiraterone-micronized-oral-route/description/drg-20443801
Gadofosveset (Injection Route),https://www.mayoclinic.org//drugs-supplements/gadofosveset-injection-route/description/drg-20073367
Abobotulinumtoxina (Intramuscular Route),https://www.mayoclinic.org//drugs-supplements/abobotulinumtoxina-intramuscular-route/description/drg-20073026
Paclitaxel Protein-Bound (Intravenous Route),https://www.mayoclinic.org//drugs-supplements/paclitaxel-protein-bound-intravenous-route/description/drg-20067529
Docosanol (Topical Route),https://www.mayoclinic.org//drugs-supplements/docosanol-topical-route/description/drg-20063494
Adalimumab (Subcutaneous Route),https://www.mayoclinic.org//drugs-supplements/adalimumab-subcutaneous-route/description/drg-20066817
Abrocitinib (Oral Route),https://www.mayoclinic.org//drugs-supplements/abrocitinib-oral-route/description/drg-20529411
Tolnaftate (Topical Route),https://www.mayoclinic.org//drugs-supplements/tolnaftate-topical-route/description/drg-20068886
