name,url
"a-25 (vit a palmitate) 7,500 mcg (25,000 unit) capsule vitamin",https://www.webmd.com//drugs/2/drug-181550-1038/a-25/details
a-g pro,https://www.webmd.com//drugs/2/drug-8953/a-g-pro/details
a-hydrocort vial,https://www.webmd.com//drugs/2/drug-8951-8333/a-hydrocort-vial/details
b activ 400 mcg dfe capsule multivitamins,https://www.webmd.com//drugs/2/drug-184197/b-activ/details
b complex,https://www.webmd.com//drugs/2/drug-58482-6106/b-complex/details
b complex with b-12 liquid,https://www.webmd.com//drugs/2/drug-148395-6106/b-complex-with-b-12-liquid/details
b complex-c-min-fe-fa tablet,https://www.webmd.com//drugs/2/drug-18715-9038/b-complex-c-min-fe-fa-tablet/details
b complex-e-fa-min comb#35-soy tablet,https://www.webmd.com//drugs/2/drug-155745/b-complex-e-fa-min-comb35-soy-tablet/details
b complex-liver extract capsule,https://www.webmd.com//drugs/2/drug-63723/b-complex-liver-extract-capsule/details
b complex-lysine liquid,https://www.webmd.com//drugs/2/drug-32634-6106/b-complex-lysine-liquid/details
b complex-lysine-iron-fa liquid,https://www.webmd.com//drugs/2/drug-32615/b-complex-lysine-iron-fa-liquid/details
b-100 complex,https://www.webmd.com//drugs/2/drug-10550-6106/b-100-complex/details
"b-100 complex tablet, extended release",https://www.webmd.com//drugs/2/drug-58467-6106/b-100-complex/details
b-12,https://www.webmd.com//drugs/2/drug-158118/b-12/details
b-12 dots,https://www.webmd.com//drugs/2/drug-150859-1249/b-12-dots/details
b-12 lozenge,https://www.webmd.com//drugs/2/drug-153837/b-12-lozenge/details
"b-12 plus 5,000 mcg-100 mcg sublingual tablet",https://www.webmd.com//drugs/2/drug-150516/b-12-tablet/details
"b-12 tablet,disintegrating",https://www.webmd.com//drugs/2/drug-160781/b-12-tablet-disintegrating/details
b-50 complex,https://www.webmd.com//drugs/2/drug-104-6106/b-50-complex/details
b-natal,https://www.webmd.com//drugs/2/drug-154250/b-natal/details
b-natal lozenge on a handle,https://www.webmd.com//drugs/2/drug-154249/b-natal-lozenge-on-a-handle/details
b-stress,https://www.webmd.com//drugs/2/drug-12075-6106/b-stress/details
b-sure 50 % topical pads astringents,https://www.webmd.com//drugs/2/drug-182712-1314/b-sure-pads-medicated/details
"b.breve,bifidum,infantis,longum-l.rhamnosus 4 billion cell/gram powder",https://www.webmd.com//drugs/2/drug-167595-1275/l-rhamnosus-b-bifidum-breve-infantis-longum-powder/details
"b.coagulans,subtilis 1 billion cell-c 45 mg-d3 25 mcg-zinc chew tablet",https://www.webmd.com//drugs/2/drug-184986/b-coagulans-subtilis-c-d3-zinc-tablet-chewable/details
"b.infantis-b.ani-b.long-b.bifi tablet, delayed release (enteric coated)",https://www.webmd.com//drugs/2/drug-155908-1275/b-infantis-b-ani-b-long-b-bifi-tablet-delayed-release-enteric-coated/details
b.subtilis 1.5 billion cell-d3 7.5 mcg-inulin 1.8 gram chew tablet,https://www.webmd.com//drugs/2/drug-184085/b-subtilis-vitamin-d3-inulin-tablet-chewable/details
b.subtilis 1.5 billion cell-inulin 1.8 gram-vit c 40 mg chew tablet,https://www.webmd.com//drugs/2/drug-184102/bacillus-subtilis-inulin-vit-c-tablet-chewable/details
"b1 50 mg-niacin mg-biotin 5,000 mcg-minerals-fenugreek-herb capsule",https://www.webmd.com//drugs/2/drug-186142/b1-niacin-biotin-min-fenu-herb-capsule/details
b1-b2-b3-b5-b6-iron-met-choln liquid,https://www.webmd.com//drugs/2/drug-160919-8280/b1-b2-b3-b5-b6-iron-met-choln-liquid/details
"b12 1,000 mcg-methyltetrahydrofolate 680 mcg dfe-b6 1.5 mg chew tablet multivitamins",https://www.webmd.com//drugs/2/drug-185371/methyl-b-12-and-folate/details
b2 1.3 mg-b6 phosphate 70 mg-b9 6 mg-b12 4 mg capsule delayed release,https://www.webmd.com//drugs/2/drug-182139/b2-b6-phos-levomef-cal-mecobal-capsule-delayed-release-enteric-coated-capsule-delayed-e-c/details
b3-azelaic-zinc-b6-copper-fa tablet,https://www.webmd.com//drugs/2/drug-154812/b3-azelaic-zinc-b6-copper-fa-tablet/details
b5 375 mg-b6 37.5 mg-folate 340 mcg dfe-c-l.carn-black pepp xt capsule,https://www.webmd.com//drugs/2/drug-186861/b5-b6-folate-c-l-car-black-pep-capsule/details
b6  35 mg-levomefolate 3 mg-mecobalam 2 mg-ala-benfoti capsule del rel,https://www.webmd.com//drugs/2/drug-182087/b6-mfolate-mcobal-ala-benfotia-capsule-delayed-release-enteric-coated-capsule-delayed-e-c/details
"b6 35 mg-b9 3 mg-b12 2 mg-d3 62.5 mcg-ala 300 mg capsule,delay release",https://www.webmd.com//drugs/2/drug-182111/b6-levomefolate-b12-d3-ala-capsule-delayed-release-enteric-coated-capsule-delayed-e-c/details
b6 7.5 mg-mfolate 170 mcg dfe-b12 100 mcg-minerals-herb no.165 capsule,https://www.webmd.com//drugs/2/drug-184409/b6-mfolate-b12-mineral-herb165-capsule/details
b6-levomefolate-b12-ala-if tablet,https://www.webmd.com//drugs/2/drug-173406/b6-levomefolate-b12-ala-if-tablet/details
baby ayr saline drops,https://www.webmd.com//drugs/2/drug-8023/baby-ayr-saline-drops/details
baby chest rub ointment,https://www.webmd.com//drugs/2/drug-154633/baby-chest-rub-ointment/details
baby ddrops,https://www.webmd.com//drugs/2/drug-167145-9106/baby-ddrops/details
baby iron-multivitamin,https://www.webmd.com//drugs/2/drug-173311-8280/baby-iron-multivitamin/details
