name,url
abscess root,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-266/abscess-root
abuta,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-267/abuta
acacia rigidula,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1411/acacia-rigidula
acai,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1109/acai
acerola,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-608/acerola
acetyl-l-carnitine,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-834/acetyl-l-carnitine
ackee,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-817/ackee
aconite,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-609/aconite
activated charcoal,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-269/activated-charcoal
active hexose correlated compound (ahcc),https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1110/active-hexose-correlated-compound-ahcc
adenosine,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1067/adenosine
adrafinil,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1644/adrafinil
adrenal extract,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-941/adrenal-extract
adrue,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-48/adrue
aegeline,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1626/aegeline
african wild potato,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-671/african-wild-potato
agar,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-80/agar
agaricus mushroom,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1165/agaricus-mushroom
agave,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1450/agave
agmatine,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1562/agmatine
agrimony,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-604/agrimony
ajuga nipponensis,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1137/ajuga-nipponensis
alanine,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1247/alanine
albizia julibrissin,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1451/albizia-julibrissin
alchemilla,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-654/alchemilla
alder buckthorn,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-850/alder-buckthorn
aletris,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-605/aletris
alfalfa,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-19/alfalfa
algal oil,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1565/algal-oil
algin,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-275/algin
alkanna,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-606/alkanna
allspice,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-81/allspice
aloe,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-607/aloe
alpha-gpc,https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1087/alpha-gpc
alpha-ketoglutarate (akg),https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-144/alpha-ketoglutarate-akg
alpha-linolenic acid (ala),https://www.webmd.com/https://www.webmd.com/vitamins/ai/ingredientmono-1035/alpha-linolenic-acid-ala
