name,url
Abdominal pain,https://www.mayoclinic.org//symptoms/abdominal-pain/basics/definition/sym-20050728
Elevated liver enzymes,https://www.mayoclinic.org//symptoms/elevated-liver-enzymes/basics/definition/sym-20050830
Anal pain,https://www.mayoclinic.org//symptoms/anal-pain/basics/definition/sym-20050918
Ankle pain,https://www.mayoclinic.org//symptoms/ankle-pain/basics/definition/sym-20050796
Loss of smell,https://www.mayoclinic.org//symptoms/loss-of-smell/basics/definition/sym-20050804
Arm pain,https://www.mayoclinic.org//symptoms/arm-pain/basics/definition/sym-20050870
Back pain,https://www.mayoclinic.org//symptoms/back-pain/basics/definition/sym-20050878
Bent penis,https://www.mayoclinic.org//symptoms/bent-penis/basics/definition/sym-20050628
Vaginal bleeding after sex,https://www.mayoclinic.org//symptoms/bleeding-after-vaginal-sex/basics/definition/sym-20050716
Bleeding during pregnancy,https://www.mayoclinic.org//symptoms/bleeding-during-pregnancy/basics/definition/sym-20050636
Blood clots,https://www.mayoclinic.org//symptoms/blood-clots/basics/definition/sym-20050850
Blood in semen,https://www.mayoclinic.org//symptoms/blood-in-semen/basics/definition/sym-20050603
Brain lesions,https://www.mayoclinic.org//symptoms/brain-lesions/basics/definition/sym-20050692
Breast calcifications,https://www.mayoclinic.org//symptoms/breast-calcifications/basics/definition/sym-20050834
Breast lumps,https://www.mayoclinic.org//symptoms/breast-lumps/basics/definition/sym-20050619
Breast rash,https://www.mayoclinic.org//symptoms/breast-rash/basics/definition/sym-20050817
Burning feet,https://www.mayoclinic.org//symptoms/burning-feet/basics/definition/sym-20050809
Blood clots,https://www.mayoclinic.org//symptoms/blood-clots/basics/definition/sym-20050850
Cold hands,https://www.mayoclinic.org//symptoms/cold-hands/basics/definition/sym-20050648
Cough,https://www.mayoclinic.org//symptoms/cough/basics/definition/sym-20050846
Coughing up blood,https://www.mayoclinic.org//symptoms/coughing-up-blood/basics/definition/sym-20050934
Dark circles under eyes,https://www.mayoclinic.org//symptoms/dark-circles-under-eyes/basics/definition/sym-20050624
Diarrhea,https://www.mayoclinic.org//symptoms/diarrhea/basics/definition/sym-20050926
Dizziness,https://www.mayoclinic.org//symptoms/dizziness/basics/definition/sym-20050886
Dry orgasm,https://www.mayoclinic.org//symptoms/dry-orgasm/basics/definition/sym-20050906
Painful urination (dysuria),https://www.mayoclinic.org//symptoms/painful-urination/basics/definition/sym-20050772
Elbow pain,https://www.mayoclinic.org//symptoms/elbow-pain/basics/definition/sym-20050874
Elevated liver enzymes,https://www.mayoclinic.org//symptoms/elevated-liver-enzymes/basics/definition/sym-20050830
Eosinophilia,https://www.mayoclinic.org//symptoms/eosinophilia/basics/definition/sym-20050752
Watery eyes,https://www.mayoclinic.org//symptoms/watery-eyes/basics/definition/sym-20050821
High red blood cell count,https://www.mayoclinic.org//symptoms/high-red-blood-cell-count/basics/definition/sym-20050858
Watery eyes,https://www.mayoclinic.org//symptoms/watery-eyes/basics/definition/sym-20050821
Excessive sweating,https://www.mayoclinic.org//symptoms/excessive-sweating/basics/definition/sym-20050780
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
Eye pain,https://www.mayoclinic.org//symptoms/eye-pain/basics/definition/sym-20050744
Eye twitching,https://www.mayoclinic.org//symptoms/eye-twitching/basics/definition/sym-20050838
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
Intestinal gas,https://www.mayoclinic.org//symptoms/intestinal-gas/basics/definition/sym-20050922
Foot pain,https://www.mayoclinic.org//symptoms/foot-pain/basics/definition/sym-20050792
Frequent bowel movements,https://www.mayoclinic.org//symptoms/frequent-bowel-movements/basics/definition/sym-20050720
Frequent urination,https://www.mayoclinic.org//symptoms/frequent-urination/basics/definition/sym-20050712
Green stool,https://www.mayoclinic.org//symptoms/green-stool/basics/definition/sym-20050708
Groin pain (male),https://www.mayoclinic.org//symptoms/groin-pain/basics/definition/sym-20050652
Numbness in hands,https://www.mayoclinic.org//symptoms/numbness-in-hands/basics/definition/sym-20050842
Headache,https://www.mayoclinic.org//symptoms/headache/basics/definition/sym-20050800
Heel pain,https://www.mayoclinic.org//symptoms/heel-pain/basics/definition/sym-20050788
High hemoglobin count,https://www.mayoclinic.org//symptoms/high-hemoglobin-count/basics/definition/sym-20050862
Low hemoglobin count,https://www.mayoclinic.org//symptoms/low-hemoglobin/basics/definition/sym-20050760
High blood protein,https://www.mayoclinic.org//symptoms/high-blood-protein/basics/definition/sym-20050599
Eosinophilia,https://www.mayoclinic.org//symptoms/eosinophilia/basics/definition/sym-20050752
High hemoglobin count,https://www.mayoclinic.org//symptoms/high-hemoglobin-count/basics/definition/sym-20050862
Elevated liver enzymes,https://www.mayoclinic.org//symptoms/elevated-liver-enzymes/basics/definition/sym-20050830
Lymphocytosis,https://www.mayoclinic.org//symptoms/lymphocytosis/basics/definition/sym-20050660
High potassium (hyperkalemia),https://www.mayoclinic.org//symptoms/hyperkalemia/basics/definition/sym-20050776
High red blood cell count,https://www.mayoclinic.org//symptoms/high-red-blood-cell-count/basics/definition/sym-20050858
High uric acid level,https://www.mayoclinic.org//symptoms/high-uric-acid-level/basics/definition/sym-20050607
High white blood cell count,https://www.mayoclinic.org//symptoms/high-white-blood-cell-count/basics/definition/sym-20050611
Hip pain,https://www.mayoclinic.org//symptoms/hip-pain/basics/definition/sym-20050684
Excessive sweating,https://www.mayoclinic.org//symptoms/excessive-sweating/basics/definition/sym-20050780
High potassium (hyperkalemia),https://www.mayoclinic.org//symptoms/hyperkalemia/basics/definition/sym-20050776
High uric acid level,https://www.mayoclinic.org//symptoms/high-uric-acid-level/basics/definition/sym-20050607
Hypoxemia,https://www.mayoclinic.org//symptoms/hypoxemia/basics/definition/sym-20050930
Numbness,https://www.mayoclinic.org//symptoms/numbness/basics/definition/sym-20050938
Intestinal gas,https://www.mayoclinic.org//symptoms/intestinal-gas/basics/definition/sym-20050922
Joint pain,https://www.mayoclinic.org//symptoms/joint-pain/basics/definition/sym-20050668
Kidney pain,https://www.mayoclinic.org//symptoms/kidney-pain/basics/definition/sym-20050902
Knee pain,https://www.mayoclinic.org//symptoms/knee-pain/basics/definition/sym-20050688
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
Leg pain,https://www.mayoclinic.org//symptoms/leg-pain/basics/definition/sym-20050784
Leg swelling,https://www.mayoclinic.org//symptoms/leg-swelling/basics/definition/sym-20050910
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
High white blood cell count,https://www.mayoclinic.org//symptoms/high-white-blood-cell-count/basics/definition/sym-20050611
Low white blood cell count,https://www.mayoclinic.org//symptoms/low-white-blood-cell-count/basics/definition/sym-20050615
Numbness,https://www.mayoclinic.org//symptoms/numbness/basics/definition/sym-20050938
Loss of smell,https://www.mayoclinic.org//symptoms/loss-of-smell/basics/definition/sym-20050804
Hypoxemia,https://www.mayoclinic.org//symptoms/hypoxemia/basics/definition/sym-20050930
Low hemoglobin count,https://www.mayoclinic.org//symptoms/low-hemoglobin/basics/definition/sym-20050760
Neutropenia,https://www.mayoclinic.org//symptoms/neutropenia/basics/definition/sym-20050854
Low potassium (hypokalemia),https://www.mayoclinic.org//symptoms/low-potassium/basics/definition/sym-20050632
Low potassium (hypokalemia),https://www.mayoclinic.org//symptoms/low-potassium/basics/definition/sym-20050632
Low white blood cell count,https://www.mayoclinic.org//symptoms/low-white-blood-cell-count/basics/definition/sym-20050615
Lymphocytosis,https://www.mayoclinic.org//symptoms/lymphocytosis/basics/definition/sym-20050660
Muscle pain,https://www.mayoclinic.org//symptoms/muscle-pain/basics/definition/sym-20050866
Nasal congestion,https://www.mayoclinic.org//symptoms/nasal-congestion/basics/definition/sym-20050644
Nausea and vomiting,https://www.mayoclinic.org//symptoms/nausea/basics/definition/sym-20050736
Neck pain,https://www.mayoclinic.org//symptoms/neck-pain/basics/definition/sym-20050882
Neutropenia,https://www.mayoclinic.org//symptoms/neutropenia/basics/definition/sym-20050854
Night leg cramps,https://www.mayoclinic.org//symptoms/night-leg-cramps/basics/definition/sym-20050813
Night sweats,https://www.mayoclinic.org//symptoms/night-sweats/basics/definition/sym-20050768
Nipple discharge,https://www.mayoclinic.org//symptoms/nipple-discharge/basics/definition/sym-20050946
Runny nose,https://www.mayoclinic.org//symptoms/runny-nose/basics/definition/sym-20050640
Nasal congestion,https://www.mayoclinic.org//symptoms/nasal-congestion/basics/definition/sym-20050644
Nosebleeds,https://www.mayoclinic.org//symptoms/nosebleeds/basics/definition/sym-20050914
Numbness,https://www.mayoclinic.org//symptoms/numbness/basics/definition/sym-20050938
Numbness in hands,https://www.mayoclinic.org//symptoms/numbness-in-hands/basics/definition/sym-20050842
Abdominal pain,https://www.mayoclinic.org//symptoms/abdominal-pain/basics/definition/sym-20050728
Anal pain,https://www.mayoclinic.org//symptoms/anal-pain/basics/definition/sym-20050918
Ankle pain,https://www.mayoclinic.org//symptoms/ankle-pain/basics/definition/sym-20050796
Arm pain,https://www.mayoclinic.org//symptoms/arm-pain/basics/definition/sym-20050870
Back pain,https://www.mayoclinic.org//symptoms/back-pain/basics/definition/sym-20050878
Elbow pain,https://www.mayoclinic.org//symptoms/elbow-pain/basics/definition/sym-20050874
Eye pain,https://www.mayoclinic.org//symptoms/eye-pain/basics/definition/sym-20050744
Foot pain,https://www.mayoclinic.org//symptoms/foot-pain/basics/definition/sym-20050792
Groin pain (male),https://www.mayoclinic.org//symptoms/groin-pain/basics/definition/sym-20050652
Heel pain,https://www.mayoclinic.org//symptoms/heel-pain/basics/definition/sym-20050788
Hip pain,https://www.mayoclinic.org//symptoms/hip-pain/basics/definition/sym-20050684
Joint pain,https://www.mayoclinic.org//symptoms/joint-pain/basics/definition/sym-20050668
Kidney pain,https://www.mayoclinic.org//symptoms/kidney-pain/basics/definition/sym-20050902
Knee pain,https://www.mayoclinic.org//symptoms/knee-pain/basics/definition/sym-20050688
Leg pain,https://www.mayoclinic.org//symptoms/leg-pain/basics/definition/sym-20050784
Muscle pain,https://www.mayoclinic.org//symptoms/muscle-pain/basics/definition/sym-20050866
Neck pain,https://www.mayoclinic.org//symptoms/neck-pain/basics/definition/sym-20050882
Pelvic pain,https://www.mayoclinic.org//symptoms/pelvic-pain/basics/definition/sym-20050898
Shoulder pain,https://www.mayoclinic.org//symptoms/shoulder-pain/basics/definition/sym-20050696
Testicle pain,https://www.mayoclinic.org//symptoms/testicle-pain/basics/definition/sym-20050942
Painful urination (dysuria),https://www.mayoclinic.org//symptoms/painful-urination/basics/definition/sym-20050772
Peeling skin,https://www.mayoclinic.org//symptoms/peeling-skin/basics/definition/sym-20050672
Pelvic pain,https://www.mayoclinic.org//symptoms/pelvic-pain/basics/definition/sym-20050898
Leg swelling,https://www.mayoclinic.org//symptoms/leg-swelling/basics/definition/sym-20050910
Petechiae,https://www.mayoclinic.org//symptoms/petechiae/basics/definition/sym-20050724
Protein in urine (proteinuria),https://www.mayoclinic.org//symptoms/protein-in-urine/basics/definition/sym-20050656
Protein in urine (proteinuria),https://www.mayoclinic.org//symptoms/protein-in-urine/basics/definition/sym-20050656
Rectal bleeding,https://www.mayoclinic.org//symptoms/rectal-bleeding/basics/definition/sym-20050740
High red blood cell count,https://www.mayoclinic.org//symptoms/high-red-blood-cell-count/basics/definition/sym-20050858
Red eye,https://www.mayoclinic.org//symptoms/red-eye/basics/definition/sym-20050748
Runny nose,https://www.mayoclinic.org//symptoms/runny-nose/basics/definition/sym-20050640
Runny nose,https://www.mayoclinic.org//symptoms/runny-nose/basics/definition/sym-20050640
Numbness,https://www.mayoclinic.org//symptoms/numbness/basics/definition/sym-20050938
Shortness of breath,https://www.mayoclinic.org//symptoms/shortness-of-breath/basics/definition/sym-20050890
Shoulder pain,https://www.mayoclinic.org//symptoms/shoulder-pain/basics/definition/sym-20050696
Nasal congestion,https://www.mayoclinic.org//symptoms/nasal-congestion/basics/definition/sym-20050644
Excessive sweating,https://www.mayoclinic.org//symptoms/excessive-sweating/basics/definition/sym-20050780
Leg swelling,https://www.mayoclinic.org//symptoms/leg-swelling/basics/definition/sym-20050910
Testicle pain,https://www.mayoclinic.org//symptoms/testicle-pain/basics/definition/sym-20050942
Nausea and vomiting,https://www.mayoclinic.org//symptoms/nausea/basics/definition/sym-20050736
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
Dark circles under eyes,https://www.mayoclinic.org//symptoms/dark-circles-under-eyes/basics/definition/sym-20050624
Unexplained weight loss,https://www.mayoclinic.org//symptoms/unexplained-weight-loss/basics/definition/sym-20050700
High uric acid level,https://www.mayoclinic.org//symptoms/high-uric-acid-level/basics/definition/sym-20050607
Urine odor,https://www.mayoclinic.org//symptoms/urine-odor/basics/definition/sym-20050704
Vaginal bleeding,https://www.mayoclinic.org//symptoms/vaginal-bleeding/basics/definition/sym-20050756
Vaginal bleeding after sex,https://www.mayoclinic.org//symptoms/bleeding-after-vaginal-sex/basics/definition/sym-20050716
Vaginal discharge,https://www.mayoclinic.org//symptoms/vaginal-discharge/basics/definition/sym-20050825
Vaginal dryness,https://www.mayoclinic.org//symptoms/vaginal-dryness/basics/definition/sym-20151520
Vaginal odor,https://www.mayoclinic.org//symptoms/vaginal-odor/basics/definition/sym-20050664
Vomiting blood,https://www.mayoclinic.org//symptoms/vomiting-blood/basics/definition/sym-20050732
Watery eyes,https://www.mayoclinic.org//symptoms/watery-eyes/basics/definition/sym-20050821
Fatigue,https://www.mayoclinic.org//symptoms/fatigue/basics/definition/sym-20050894
Unexplained weight loss,https://www.mayoclinic.org//symptoms/unexplained-weight-loss/basics/definition/sym-20050700
Wheezing,https://www.mayoclinic.org//symptoms/wheezing/basics/definition/sym-20050764
High white blood cell count,https://www.mayoclinic.org//symptoms/high-white-blood-cell-count/basics/definition/sym-20050611
Low white blood cell count,https://www.mayoclinic.org//symptoms/low-white-blood-cell-count/basics/definition/sym-20050615
White tongue,https://www.mayoclinic.org//symptoms/white-tongue/basics/definition/sym-20050676
Yellow tongue,https://www.mayoclinic.org//symptoms/yellow-tongue/basics/definition/sym-20050595
